index,Shortcodes
0,:100:
1,:1234:
2,:umbrella_with_rain_drops:
3,:coffee:
4,:aries:
5,:taurus:
6,:sagittarius:
7,:capricorn:
8,:aquarius:
9,:pisces:
10,:anchor:
11,:white_check_mark:
12,:sparkles:
13,:question:
14,:grey_question:
15,:grey_exclamation:
16,:exclamation:
17,:heavy_exclamation_mark:
18,:heavy_plus_sign:
19,:heavy_minus_sign:
20,:heavy_division_sign:
21,:hash:
22,:keycap_star:
23,:zero:
24,:one:
25,:two:
26,:three:
27,:four:
28,:five:
29,:six:
30,:seven:
31,:eight:
32,:nine:
33,:copyright:
34,:registered:
35,:mahjong:
36,:black_joker:
37,:a:
38,:b:
39,:o2:
40,:parking:
41,:ab:
42,:cl:
43,:cool:
44,:free:
45,:id:
46,:new:
47,:ng:
48,:ok:
49,:sos:
50,:up:
51,:vs:
52,:flag-ac:
53,:flag-ad:
54,:flag-ae:
55,:flag-af:
56,:flag-ag:
57,:flag-ai:
58,:flag-al:
59,:flag-am:
60,:flag-ao:
61,:flag-aq:
62,:flag-ar:
63,:flag-as:
64,:flag-at:
65,:flag-au:
66,:flag-aw:
67,:flag-ax:
68,:flag-az:
69,:flag-ba:
70,:flag-bb:
71,:flag-bd:
72,:flag-be:
73,:flag-bf:
74,:flag-bg:
75,:flag-bh:
76,:flag-bi:
77,:flag-bj:
78,:flag-bl:
79,:flag-bm:
80,:flag-bn:
81,:flag-bo:
82,:flag-bq:
83,:flag-br:
84,:flag-bs:
85,:flag-bt:
86,:flag-bv:
87,:flag-bw:
88,:flag-by:
89,:flag-bz:
90,:flag-ca:
91,:flag-cc:
92,:flag-cd:
93,:flag-cf:
94,:flag-cg:
95,:flag-ch:
96,:flag-ci:
97,:flag-ck:
98,:flag-cl:
99,:flag-cm:
100,:cn:
101,:flag-cn:
102,:flag-co:
103,:flag-cp:
104,:flag-cr:
105,:flag-cu:
106,:flag-cv:
107,:flag-cw:
108,:flag-cx:
109,:flag-cy:
110,:flag-cz:
111,:de:
112,:flag-de:
113,:flag-dg:
114,:flag-dj:
115,:flag-dk:
116,:flag-dm:
117,:flag-do:
118,:flag-dz:
119,:flag-ea:
120,:flag-ec:
121,:flag-ee:
122,:flag-eg:
123,:flag-eh:
124,:flag-er:
125,:es:
126,:flag-es:
127,:flag-et:
128,:flag-eu:
129,:flag-fi:
130,:flag-fj:
131,:flag-fk:
132,:flag-fm:
133,:flag-fo:
134,:fr:
135,:flag-fr:
136,:flag-ga:
137,:gb:
138,:uk:
139,:flag-gb:
140,:flag-gd:
141,:flag-ge:
142,:flag-gf:
143,:flag-gg:
144,:flag-gh:
145,:flag-gi:
146,:flag-gl:
147,:flag-gm:
148,:flag-gn:
149,:flag-gp:
150,:flag-gq:
151,:flag-gr:
152,:flag-gs:
153,:flag-gt:
154,:flag-gu:
155,:flag-gw:
156,:flag-gy:
157,:flag-hk:
158,:flag-hm:
159,:flag-hn:
160,:flag-hr:
161,:flag-ht:
162,:flag-hu:
163,:flag-ic:
164,:flag-id:
165,:flag-ie:
166,:flag-il:
167,:flag-im:
168,:flag-in:
169,:flag-io:
170,:flag-iq:
171,:flag-ir:
172,:flag-is:
173,:it:
174,:flag-it:
175,:flag-je:
176,:flag-jm:
177,:flag-jo:
178,:jp:
179,:flag-jp:
180,:flag-ke:
181,:flag-kg:
182,:flag-kh:
183,:flag-ki:
184,:flag-km:
185,:flag-kn:
186,:flag-kp:
187,:kr:
188,:flag-kr:
189,:flag-kw:
